iter	Passed	Remaining
729	10414	3852
730	10428	3837
731	10443	3823
732	10461	3810
733	10475	3796
734	10490	3782
735	10505	3768
736	10520	3754
737	10534	3739
738	10549	3725
739	10563	3711
740	10577	3697
741	10592	3683
742	10607	3669
743	10621	3654
744	10631	3638
745	10642	3623
746	10653	3608
747	10664	3592
748	10675	3577
749	10685	3561
750	10695	3546
751	10706	3530
752	10717	3515
753	10726	3499
754	10737	3484
755	10747	3468
756	10758	3453
757	10773	3439
758	10783	3424
759	10793	3408
760	10804	3393
761	10815	3377
762	10825	3362
763	10835	3347
764	10845	3331
765	10856	3316
766	10867	3301
767	10877	3285
768	10888	3270
769	10899	3255
770	10909	3240
771	10920	3225
772	10932	3210
773	10943	3195
774	10957	3181
775	10972	3167
776	10987	3153
777	11002	3139
778	11017	3125
779	11031	3111
780	11047	3097
781	11063	3084
782	11078	3070
783	11091	3055
784	11105	3041
785	11116	3026
786	11127	3011
787	11137	2996
788	11148	2981
789	11157	2966
790	11168	2951
791	11179	2936
792	11195	2922
793	11205	2907
794	11217	2892
795	11228	2877
796	11239	2862
797	11249	2847
798	11259	2832
799	11269	2817
800	11280	2802
801	11291	2787
802	11301	2772
803	11312	2757
804	11323	2743
805	11334	2728
806	11344	2713
807	11354	2698
808	11364	2683
809	11375	2668
810	11385	2653
811	11396	2638
812	11407	2623
813	11418	2609
814	11431	2594
815	11444	2580
816	11458	2566
817	11472	2552
818	11486	2538
819	11499	2524
820	11513	2510
821	11528	2496
822	11542	2482
823	11557	2468
824	11571	2454
825	11584	2440
826	11595	2425
827	11610	2411
828	11621	2397
829	11636	2383
830	11648	2368
831	11661	2354
832	11672	2340
833	11686	2326
834	11700	2312
835	11713	2297
836	11728	2284
837	11742	2270
838	11757	2256
839	11771	2242
840	11785	2228
841	11800	2214
842	11814	2200
843	11827	2186
844	11837	2171
845	11848	2156
846	11858	2142
847	11869	2127
848	11880	2112
849	11890	2098
850	11900	2083
851	11911	2069
852	11921	2054
853	11931	2039
854	11941	2025
855	11952	2010
856	11963	1996
857	11974	1981
858	11988	1967
859	12003	1954
860	12020	1940
861	12035	1926
862	12048	1912
863	12062	1898
864	12072	1884
865	12085	1870
866	12098	1855
867	12109	1841
868	12120	1827
869	12133	1813
870	12145	1798
871	12157	1784
872	12170	1770
873	12182	1756
874	12195	1742
875	12207	1728
876	12218	1713
877	12230	1699
878	12242	1685
879	12254	1671
880	12267	1656
881	12280	1642
882	12293	1628
883	12305	1614
884	12317	1600
885	12329	1586
886	12340	1572
887	12352	1557
888	12365	1543
889	12378	1529
890	12391	1515
891	12405	1502
892	12417	1487
893	12432	1474
894	12444	1459
895	12456	1445
896	12468	1431
897	12480	1417
898	12507	1405
899	12529	1392
900	12552	1379
901	12577	1366
902	12606	1354
903	12630	1341
904	12650	1327
905	12661	1313
906	12678	1299
907	12692	1285
908	12706	1272
909	12720	1258
910	12741	1244
911	12762	1231
912	12787	1218
913	12808	1205
914	12825	1191
915	12851	1178
916	12880	1165
917	12897	1152
918	12920	1138
919	12942	1125
920	12958	1111
921	12972	1097
922	12987	1083
923	13001	1069
924	13017	1055
925	13030	1041
926	13042	1027
927	13062	1013
928	13079	999
929	13095	985
930	13112	971
931	13128	957
932	13145	944
933	13163	930
934	13179	916
935	13197	902
936	13214	888
937	13227	874
938	13238	860
939	13251	845
940	13267	831
941	13279	817
942	13291	803
943	13303	789
944	13315	774
945	13327	760
946	13340	746
947	13351	732
948	13364	718
949	13377	704
950	13389	689
951	13401	675
952	13414	661
953	13426	647
954	13439	633
955	13451	619
956	13463	604
957	13481	591
958	13499	577
959	13515	563
960	13532	549
961	13549	535
962	13566	521
963	13582	507
964	13599	493
965	13615	479
966	13634	465
967	13656	451
968	13684	437
969	13702	423
970	13718	409
971	13734	395
972	13751	381
973	13766	367
974	13780	353
975	13791	339
976	13801	324
977	13811	310
978	13822	296
979	13833	282
980	13844	268
981	13855	253
982	13865	239
983	13879	225
984	13893	211
985	13907	197
986	13921	183
987	13935	169
988	13949	155
989	13964	141
990	13985	127
991	14003	112
992	14025	98
993	14039	84
994	14054	70
995	14072	56
996	14086	42
997	14099	28
998	14120	14
999	14131	0
